 customerId | storeId |  firstName  |   lastName   |                  email                   | addressId | isActive | createdAt  |           updatedAt           | paymentId | staffId | rentalId | amount |            paidAt             
------------+---------+-------------+--------------+------------------------------------------+-----------+----------+------------+-------------------------------+-----------+---------+----------+--------+-------------------------------
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16050 |       2 |        7 |   1.99 | 2017-01-24 21:40:19.996577+00
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16051 |       1 |       98 |   0.99 | 2017-01-25 15:16:50.996577+00
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16052 |       2 |      678 |   6.99 | 2017-01-28 21:44:14.996577+00
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16053 |       2 |      703 |   0.99 | 2017-01-29 00:58:02.996577+00
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16054 |       1 |      750 |   4.99 | 2017-01-29 08:10:06.996577+00
        269 |       1 | Cassandra   | Walters      | CASSANDRA.WALTERS@sakilacustomer.org     |       274 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16055 |       2 |     1099 |   2.99 | 2017-01-31 12:23:14.996577+00
        270 |       1 | Leah        | Curtis       | LEAH.CURTIS@sakilacustomer.org           |       275 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16056 |       1 |      193 |   1.99 | 2017-01-26 05:10:14.996577+00
        270 |       1 | Leah        | Curtis       | LEAH.CURTIS@sakilacustomer.org           |       275 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16057 |       1 |     1040 |   4.99 | 2017-01-31 04:03:42.996577+00
        271 |       1 | Penny       | Neal         | PENNY.NEAL@sakilacustomer.org            |       276 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16058 |       1 |     1096 |   8.99 | 2017-01-31 11:59:15.996577+00
        272 |       1 | Kay         | Caldwell     | KAY.CALDWELL@sakilacustomer.org          |       277 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16059 |       1 |       33 |   0.99 | 2017-01-25 02:47:17.996577+00
        272 |       1 | Kay         | Caldwell     | KAY.CALDWELL@sakilacustomer.org          |       277 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16060 |       1 |      405 |   6.99 | 2017-01-27 12:01:05.996577+00
        272 |       1 | Kay         | Caldwell     | KAY.CALDWELL@sakilacustomer.org          |       277 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16061 |       1 |     1041 |   6.99 | 2017-01-31 04:14:49.996577+00
        272 |       1 | Kay         | Caldwell     | KAY.CALDWELL@sakilacustomer.org          |       277 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16062 |       1 |     1072 |   0.99 | 2017-01-31 08:21:16.996577+00
        273 |       2 | Priscilla   | Lowe         | PRISCILLA.LOWE@sakilacustomer.org        |       278 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16063 |       2 |      122 |   3.99 | 2017-01-25 18:14:47.996577+00
        273 |       2 | Priscilla   | Lowe         | PRISCILLA.LOWE@sakilacustomer.org        |       278 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16064 |       2 |      980 |   0.99 | 2017-01-30 20:13:45.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16065 |       1 |      147 |   2.99 | 2017-01-25 22:46:16.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16066 |       1 |      208 |   4.99 | 2017-01-26 06:38:48.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16067 |       2 |      301 |   2.99 | 2017-01-26 19:34:40.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16068 |       1 |      394 |   5.99 | 2017-01-27 09:54:37.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16069 |       2 |      474 |   2.99 | 2017-01-27 20:40:22.996577+00
        274 |       1 | Naomi       | Jennings     | NAOMI.JENNINGS@sakilacustomer.org        |       279 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16070 |       1 |      892 |   4.99 | 2017-01-30 06:31:22.996577+00
        275 |       2 | Carole      | Barnett      | CAROLE.BARNETT@sakilacustomer.org        |       280 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16071 |       2 |      336 |   2.99 | 2017-01-27 01:43:49.996577+00
        276 |       1 | Brandy      | Graves       | BRANDY.GRAVES@sakilacustomer.org         |       281 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16072 |       1 |      736 |   3.99 | 2017-01-29 06:38:33.996577+00
        276 |       1 | Brandy      | Graves       | BRANDY.GRAVES@sakilacustomer.org         |       281 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16073 |       1 |      860 |  10.99 | 2017-01-30 01:13:42.996577+00
        277 |       2 | Olga        | Jimenez      | OLGA.JIMENEZ@sakilacustomer.org          |       282 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16074 |       2 |      308 |   6.99 | 2017-01-26 20:30:05.996577+00
        278 |       2 | Billie      | Horton       | BILLIE.HORTON@sakilacustomer.org         |       283 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16075 |       1 |     1092 |   4.99 | 2017-01-31 10:44:23.996577+00
        279 |       2 | Dianne      | Shelton      | DIANNE.SHELTON@sakilacustomer.org        |       284 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16076 |       1 |      979 |   2.99 | 2017-01-30 20:05:37.996577+00
        279 |       2 | Dianne      | Shelton      | DIANNE.SHELTON@sakilacustomer.org        |       284 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16077 |       2 |     1019 |   0.99 | 2017-01-31 01:33:33.996577+00
        280 |       2 | Tracey      | Barrett      | TRACEY.BARRETT@sakilacustomer.org        |       285 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16078 |       1 |     1014 |   4.99 | 2017-01-31 01:07:42.996577+00
        281 |       2 | Leona       | Obrien       | LEONA.OBRIEN@sakilacustomer.org          |       286 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16079 |       2 |      650 |   2.99 | 2017-01-28 18:14:06.996577+00
        281 |       2 | Leona       | Obrien       | LEONA.OBRIEN@sakilacustomer.org          |       286 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16080 |       2 |      754 |   2.99 | 2017-01-29 08:47:25.996577+00
        282 |       2 | Jenny       | Castro       | JENNY.CASTRO@sakilacustomer.org          |       287 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16081 |       2 |       48 |   1.99 | 2017-01-25 04:49:12.996577+00
        282 |       2 | Jenny       | Castro       | JENNY.CASTRO@sakilacustomer.org          |       287 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16082 |       2 |      282 |   6.99 | 2017-01-26 17:24:52.996577+00
        282 |       2 | Jenny       | Castro       | JENNY.CASTRO@sakilacustomer.org          |       287 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16083 |       2 |      564 |   0.99 | 2017-01-28 07:40:35.996577+00
        284 |       1 | Sonia       | Gregory      | SONIA.GREGORY@sakilacustomer.org         |       289 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16084 |       2 |      423 |   0.99 | 2017-01-27 14:01:23.996577+00
        284 |       1 | Sonia       | Gregory      | SONIA.GREGORY@sakilacustomer.org         |       289 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16085 |       2 |      791 |   0.99 | 2017-01-29 14:59:08.996577+00
        284 |       1 | Sonia       | Gregory      | SONIA.GREGORY@sakilacustomer.org         |       289 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16086 |       1 |     1145 |   6.99 | 2017-01-31 18:42:11.996577+00
        286 |       1 | Velma       | Lucas        | VELMA.LUCAS@sakilacustomer.org           |       291 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16087 |       2 |       81 |   6.99 | 2017-01-25 10:43:45.996577+00
        287 |       2 | Becky       | Miles        | BECKY.MILES@sakilacustomer.org           |       292 | t        | 2017-02-14 | 2019-12-03 04:50:31.454795+00 |     16088 |       2 |      498 |   0.99 | 2017-01-27 23:29:47.996577+00
